source_id,source_name,source_url,role,access_mode,required_fields,evidence_status,retrieved_at,known_limitation
nhl-public,NHL public web/stats endpoints,https://api-web.nhle.com,game schedule/gamecenter source,public undocumented endpoint,url+retrieved_at+schema_hash,confirmed,2026-08-03,"Endpoint stability is not contractual; raw responses are archived and the eligible game population is reconciled to MoneyPuck."
moneypuck,MoneyPuck downloadable game data,https://www.moneypuck.com/data.htm,game context enrichment,public download,url+season+checksum,confirmed,2026-08-03,"Methodology and variables vary by release; original files and checksums are retained."
wikimedia,Wikimedia Pageviews API,https://wikimedia.org/api/rest_v1/,primary independent information-demand outcome,public API,project+article+date+retrieved_at,confirmed,2026-08-03,"Pageviews are information seeking, not people, sentiment, or purchase intent; missing is never zero."
gdelt-doc,GDELT DOC API,https://api.gdeltproject.org/api/v2/doc/doc,recent article-context checks,public API,query+date_window+retrieved_at+checksum,deferred_from_historical_model,2026-08-03,"The documented rolling precise-date window cannot provide the full eleven-season history; no missing historical interval is treated as zero."
gdelt-gkg,GDELT GKG 2.1 public BigQuery dataset,https://www.gdeltproject.org/data.html#googlebigquery,historical audited earned-media volume,public dataset,query+job_id+date+retrieved_at+checksum,confirmed_with_visible_source_gaps,2026-08-03,"The 185-article active-extraction audit qualifies all 32 current clubs; volume is not readership or sentiment, and 18 source-gap dates remain unavailable."
youtube,YouTube Data API v3,https://developers.google.com/youtube/v3/docs,official publication metadata event-time comment timestamps and current public statistics,API key,video_id+channel_id+published_at+retrieved_at,confirmed,2026-08-03,"Upload and surviving top-level comment timestamps are historical descriptive evidence; views likes comments totals and subscribers remain current snapshots."
acs,U.S. Census ACS 2024 five-year table-based summary files,https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/,U.S. market and resident-worker industry context,public download,geography+period+retrieved_at,confirmed,2026-08-03,"Survey estimates and margins of error are retained; descriptive market context only."
statcan,Statistics Canada Web Data Service,https://www.statcan.gc.ca/en/developers/wds/user-guide,Canadian market context,public API,geography+period+retrieved_at,confirmed,2026-08-03,"Canadian measures retain their source definitions and are not forced into a U.S.–Canada common rank."
qcew,BLS QCEW,https://www.bls.gov/cew/,U.S. establishment-industry context,public download,area+industry+period+retrieved_at,confirmed_with_suppression,2026-08-03,"Thirty-six confidentiality-suppressed cells remain unavailable; separately labelled ACS resident-worker estimates fill the preferred display only."
bea,BEA Regional,https://apps.bea.gov/api/data/,U.S. regional price context,public API,area+period+retrieved_at,confirmed,2026-08-03,"Descriptive context only; it is not a same-day public-attention outcome."
